ID,SMILES,ST Gap,HL Gap
111,CC1C=C(c2nc3cc4ncoc4nc3o2)c2ccccc21,1.3828,4.054770714
112,CC1C=C(c2ccc3c(c2)[nH]c2ncccc23)c2ccccc21,1.2745,4.318177066
113,CC1C=C(c2cncc3c2[nH]c2ccncc23)c2ccccc21,1.3824,4.57287577
114,O=[SH](=O)c1ccnc2cnncc12,0.3108,3.86946108
115,c1cc(-c2nnc[nH]2)c2cnncc2n1,0.2787,3.798167212
116,O=Cc1ccc(-c2ccnc3cnncc23)cc1,0.3107,3.94293186
117,c1cc(-c2ccnc3cnncc23)c2ncoc2c1,0.3692,4.114635794
118,c1ccc2c(-c3ccnc4cnncc34)cncc2c1,0.5172,4.13205109
119,c1cc(-c2ccnc3cnncc23)c2cnncc2n1,0.2992,3.879529298
120,c1ccc(-c2ccc(-c3ccnc4cnncc34)cc2)nc1,0.4188,4.114907908
121,c1cc(-c2c3[nH]cnc3nc3nc[nH]c23)c2cnncc2n1,0.4249,3.664831352
122,c1cc(-c2nc3nc4ncoc4nc3o2)c2cnncc2n1,0.194,3.267272798
123,O=C(c1ccc(-c2ccnc3cnncc23)cc1)C(F)(F)F,0.2732,3.7415675
124,c1cnc2sc3ncc(-c4ccnc5cnncc45)cc3c2c1,0.35,4.14837793
125,Cn1ccc2c(-c3ncns3)cccc21,0.9979,3.86946108
126,Cn1ccc2c(-c3ccc(C#N)c(C#N)c3)cccc21,0.6015,3.65857273
127,Cn1ccc2c(-c3cccc4sccc34)cccc21,1.0759,4.453689838
128,Cn1ccc2c(-c3cc(C=O)ccc3C=O)cccc21,0.2163,3.235163346
129,Cn1ccc2c(-c3c(C#N)cc(C#N)cc3C#N)cccc21,0.2926,3.443330556
130,Cn1ccc2c(-c3cncc4c3[nH]c3ccncc34)cccc21,1.0393,4.487976202
131,Cn1ccc2c(-c3ccc(C(=O)C(F)(F)F)cc3)cccc21,0.5725,3.461562194
132,Cn1ccc2c(-c3cccc4cc5ccccc5cc34)cccc21,1.2887,3.43543925
133,Cn1ccc2c(-c3cccc4c3cnc3ccccc34)cccc21,0.7994,4.075179264
134,Fc1cc(-c2cccnc2)cc(F)c1F,1.3425,5.249351174
135,Fc1cc(-c2cccc3sccc23)cc(F)c1F,1.3244,4.754920036
136,Fc1cc(-c2cccc3scnc23)cc(F)c1F,1.2709,4.736688398
137,O=[SH](=O)c1cccc(-c2cc(F)c(F)c(F)c2)c1,1.416,5.117375884
138,Fc1cc(-c2c(F)c(F)cc(F)c2F)cc(F)c1F,1.416,5.224044572
139,N#Cc1cc(C#N)c(-c2cc(F)c(F)c(F)c2)c(C#N)c1,1.0194,4.459676346
140,CS(=O)(=O)c1ccc(-c2cc(F)c(F)c(F)c2)cc1,1.4821,5.039007052
141,Fc1cc(-c2ccc3c(c2)oc2ccccc23)cc(F)c1F,1.2657,4.532602898
142,Fc1cc(-c2ccc3c(c2)-c2cccnc2[SiH2:2]3)cc(F)c1F,1.2268,4.653421514
143,O=[SH](=O)c1cc2ccccc2s1,1.4114,4.81369666
144,c1ccc2sc(-c3nnn[nH]3)cc2c1,1.5045,4.433825516
145,c1ccc2sc(-c3ncns3)cc2c1,1.3747,4.00279694
146,CC(=O)c1ccc(-c2cc3ccccc3s2)cc1,1.1244,3.934224212
147,c1cnc2ncc(-c3cc4ccccc4s3)cc2c1,1.0054,3.88170621
148,N#Cc1ccc(-c2cc3ccccc3s2)c(C#N)c1C#N,0.8737,3.616122946
149,c1ccc2sc(-c3ccc(-c4ccncc4)cc3)cc2c1,1.2188,4.060757222
150,c1ccc2sc(-c3ccc(-c4cnccn4)cc3)cc2c1,1.1015,3.829732436
151,c1ccc2sc(-c3ccc4c(c3)oc3ccccc34)cc2c1,1.2141,4.038988102
152,c1ccc2sc(-c3ccc4c(c3)oc3ncccc34)cc2c1,1.1534,3.939394378
153,c1ccc2sc(-c3cncc4c3[nH]c3ccncc34)cc2c1,1.2257,4.354640342
154,c1ccc2sc(-c3cnc4oc5ncccc5c4c3)cc2c1,0.8938,4.120622302
155,c1cnc2c(c1)[SiH2:2]c1ccc(-c3cc4ccccc4s3)cc1-2,1.1727,4.085247482
156,c1ccc2sc(-c3cnco3)nc2c1,1.5304,4.342123098
157,O=Cc1ccc(-c2nc3ccccc3s2)cc1,0.9523,3.976673996
158,c1ccc2sc(-c3nccc4[nH]ccc34)nc2c1,1.0897,3.995721976
159,c1ccc2sc(-c3nc4nc5ncoc5nc4o3)nc2c1,1.0571,3.784289398
160,c1ccc2sc(-c3ccc4c(c3)oc3ncccc34)nc2c1,1.1372,3.961435612
161,c1cnc2c(c1)[SiH2:2]c1ccc(-c3nc4ccccc4s3)cc1-2,1.2244,4.181303724
162,O=c1cc[nH]c2c(-c3ccnnc3)cccc12,0.759,4.06402259
163,O=c1cc[nH]c2c(-c3ccc(-c4ncccn4)cc3)cccc12,0.5482,3.844698706
164,O=c1cc[nH]c2c(-c3c4ccoc4cc4ccoc34)cccc12,0.95,4.267291748
165,O=c1cc[nH]c2c(-c3nc4nc5ncoc5nc4o3)cccc12,0.5017,3.315981204
166,O=c1cc[nH]c2c(-c3cnc4oc5ncccc5c4c3)cccc12,0.3944,3.848780416
167,O=c1cc[nH]c2c(-c3cccc4c3cnc3ccccc34)cccc12,0.7214,4.041981356
168,O=c1cc[nH]c2c(-c3ccc4c(c3)-c3cnccc3[SiH2:2]4)cccc12,0.6017,3.950551052
169,O=c1cc[nH]c2c(-c3ccc4sc5ncccc5c4c3)cccc12,0.6592,4.094771472
170,N#Cc1ccc(-c2ccccn2)nc1,1.1023,4.625393772
171,c1ccc(-c2ccc(-c3ccnnc3)cn2)nc1,0.6793,4.252325478
172,N#Cc1ccc(-c2ccc(-c3ccccn3)nc2)cc1,1.1965,4.317360724
173,O=Cc1ccc(-c2ccc(-c3ccccn3)nc2)cc1,0.8623,4.168242252
174,O=C1NC(=O)c2c1cccc2-c1ccc(-c2ccccn2)nc1,0.5619,3.951367394
175,c1ccc(-c2ccc(-c3c[nH]c4nc5occc5nc34)cn2)nc1,0.8255,3.78374517
176,c1ccc(-c2ccc(-c3ccc4c(c3)[nH]c3ccccc34)cn2)nc1,0.8945,4.070009098
177,c1ccc(-c2ccc(-c3ccc4c(c3)[nH]c3ccncc34)cn2)nc1,1.022,4.158446148
178,c1ccc(-c2ccc(-c3cnc4oc5ncccc5c4c3)cn2)nc1,1.0514,4.44226105
179,c1ccc(-c2ccc(-c3cnc4c(c3)-c3cccnc3[SiH2:2]4)cn2)nc1,1.0716,4.326340486
180,O=[SH](=O)n1ccc2cc3ccoc3cc21,1.5336,4.933971048
181,c1nnc(-n2ccc3cc4ccoc4cc32)o1,1.3551,4.782947778
182,CS(=O)(=O)c1ccc(-n2ccc3cc4ccoc4cc32)cc1,0.762,4.126880924
183,c1cc2cc3ccn(-c4c5ccoc5cc5ccoc45)c3cc2o1,0.7523,3.998987344
184,c1nc2c(-n3ccc4cc5ccoc5cc43)c3nc[nH]c3cc2[nH]1,0.5781,3.774493294
185,c1ccc2c(c1)[nH]c1cc(-n3ccc4cc5ccoc5cc43)ccc12,0.799,4.098581068
186,c1cc2[nH]c3c(-n4ccc5cc6ccoc6cc54)cncc3c2cn1,0.7813,4.145112562
187,c1cnc2oc3ncc(-n4ccc5cc6ccoc6cc54)cc3c2c1,0.1764,3.462378536
188,CC(=O)c1ccc(-c2c3ccoc3cc3ccoc23)cc1,0.968,3.884699464
189,c1ccc2c(-c3c4ccoc4cc4ccoc34)cncc2c1,0.9461,4.09395513
190,c1cc2cc(-c3c4ccoc4cc4ccoc34)cnc2cn1,0.8521,3.831909348
191,c1cnc2cc(-c3c4ccoc4cc4ccoc34)cnc2c1,0.789,3.775309636
192,c1cc(-c2ccc(-c3c4ccoc4cc4ccoc34)cc2)ccn1,1.0863,4.041437128
193,O=C1C=CC(=O)c2c1cccc2-c1c2ccoc2cc2ccoc12,0.1346,2.457733648
194,CC1c2ccccc2-c2ccc(-c3c4ccoc4cc4ccoc34)cc21,1.1665,4.084159026
195,c1cnc2c(c1)[SiH2:2]c1cc(-c3c4ccoc4cc4ccoc34)cnc1-2,0.9335,3.87626393
196,O=[SH](=O)n1cnc2cc3nc[nH]c3cc21,1.4662,5.08581066
197,c1nc2cc3ncn(-c4cnco4)c3cc2[nH]1,1.2036,4.752198896
198,c1nc2cc3ncn(-c4nnco4)c3cc2[nH]1,1.1635,4.801179416
199,O=Cc1ccc(-n2cnc3cc4nc[nH]c4cc32)cc1,0.4528,3.724696432
200,c1cc(-n2cnc3cc4nc[nH]c4cc32)c2ncoc2c1,0.7015,4.277904194
201,N#Cc1ccc(-n2cnc3cc4nc[nH]c4cc32)cc1C#N,0.3527,3.493127418
202,c1cc(-n2cnc3cc4nc[nH]c4cc32)c2cnncc2n1,0.2288,3.45448723
203,c1cnc(-c2ccc(-n3cnc4cc5nc[nH]c5cc43)cc2)nc1,0.5052,3.77830289
204,O=C1C=CC(=O)c2c1cccc2-n1cnc2cc3nc[nH]c3cc21,0.1522,2.203307058
205,c1cc2c(cn1)[nH]c1cc(-n3cnc4cc5nc[nH]c5cc43)ccc12,0.5595,4.057763968
206,c1cc2[nH]ccc2c(-n2ccc3nc4ccoc4nc32)n1,0.7256,4.18783446
207,c1cnc2c(-n3ccc4nc5ccoc5nc43)cncc2n1,0.5476,3.428908514
208,c1ccc2cc3c(-n4ccc5nc6ccoc6nc54)cccc3cc2c1,1.3738,3.49530433
209,c1cnc2c(c1)-c1cc(-n3ccc4nc5ccoc5nc43)ccc1[SiH2:2]2,0.7678,4.181575838
210,O=[SH](=O)n1cnc2nc3nc[nH]c3cc21,1.1254,5.011251424
211,c1ncnc(-n2cnc3nc4nc[nH]c4cc32)n1,0.6353,4.398994924
212,c1ccc2c(-n3cnc4nc5nc[nH]c5cc43)cncc2c1,0.8679,4.072730238
213,c1cncc(-c2ccc(-n3cnc4nc5nc[nH]c5cc43)cc2)c1,0.9024,4.551378764
214,c1ccc(-c2ccc(-n3cnc4nc5nc[nH]c5cc43)cn2)nc1,0.8205,4.245250514
215,c1nc2nc3ncn(-c4c5ncoc5cc5ncoc45)c3cc2[nH]1,0.7315,4.19191617
216,c1cnc2sc3ncc(-n4cnc5nc6nc[nH]c6cc54)cc3c2c1,0.4627,4.07626772
217,c1nc2nc3ncn(-c4c5ncsc5cc5ncsc45)c3cc2[nH]1,0.6399,3.978034566
218,N#Cc1nc2cc3ocnc3cc2o1,1.4826,4.513282804
219,c1ncc(-c2nc3cc4ocnc4cc3o2)cn1,1.184,4.226474648
220,c1cc(-c2nc3cc4ocnc4cc3o2)c2nccnc2c1,0.9422,3.6191162
221,FC(F)(F)c1cccc(-c2nc3cc4ocnc4cc3o2)c1,1.2969,4.25450239
222,c1cc(-c2ccc(-c3nc4cc5ocnc5cc4o3)cc2)ccn1,1.138,4.006062308
223,O=C1C=CC(=O)c2c1cccc2-c1nc2cc3ocnc3cc2o1,0.2733,2.901823696
224,c1nc2cc3oc(-c4coc5nc6occc6nc45)nc3cc2o1,0.9573,3.899121506
225,Fc1c(F)c(F)c(-c2nc3cc4ocnc4cc3o2)c(F)c1F,1.2548,4.27627151
226,c1cnc2c(c1)[SiH2:2]c1cc(-c3nc4cc5ocnc5cc4o3)cnc1-2,1.0711,3.86673994
227,c1nc(-c2cc3nc4ccoc4nc3o2)no1,1.3503,4.199263248
228,c1ncc(-c2cc3nc4ccoc4nc3o2)cn1,1.2858,4.006606536
229,N#Cc1ccc(-c2cc3nc4ccoc4nc3o2)c(C#N)c1,1.1547,3.63544304
230,c1cc(-c2cc3nc4ccoc4nc3o2)c2nccnc2c1,1.0033,3.45176609
231,c1cc2nccc(-c3cc4nc5ccoc5nc4o3)c2cn1,1.1703,3.807963316
232,c1cc(-c2cc3nc4ccoc4nc3o2)c2cnncc2n1,0.5426,3.612041236
233,O=[SH](=O)c1cccc(-c2cc3nc4ccoc4nc3o2)c1,1.2675,3.966605778
234,c1nc2nc3nc(-c4cc5nc6ccoc6nc5o4)oc3cc2o1,1.1427,3.670001518
235,c1cc2c(cn1)[SiH2:2]c1cncc(-c3cc4nc5ccoc5nc4o3)c1-2,0.8859,4.102662778
236,c1cnc2sc3ccc(-c4cc5nc6ccoc6nc5o4)cc3c2c1,1.107,3.782928828
237,c1nc2nc3ncn(-c4cnoc4)c3nc2[nH]1,0.8639,4.525527934
238,Cn1cnnc1-n1cnc2nc3nc[nH]c3nc21,0.8224,4.622400518
239,O=C1C=C(n2cnc3nc4nc[nH]c4nc32)C(=O)N1,0.7316,3.809051772
240,O=Cc1ccc(-n2cnc3nc4nc[nH]c4nc32)cc1,0.6625,4.40144395
241,c1cc(-n2cnc3nc4nc[nH]c4nc32)c2nccnc2c1,0.7409,3.822929586
242,c1cncc(-c2ccc(-n3cnc4nc5nc[nH]c5nc43)cc2)c1,0.833,4.481989694
243,c1ccc(-c2ccc(-n3cnc4nc5nc[nH]c5nc43)cn2)nc1,0.8298,4.480629124
244,c1nc2nc3ncn(-c4c5ccoc5cc5ccoc45)c3nc2[nH]1,0.8764,4.211780492
245,c1nc2nc3nc(-n4cnc5nc6nc[nH]c6nc54)[nH]c3nc2[nH]1,0.6749,3.99871523
246,c1ccc2c(c1)Cc1cc(-n3cnc4nc5nc[nH]c5nc43)ccc1-2,0.7703,4.241713032
247,c1cc2c(cn1)[SiH2:2]c1ccc(-n3cnc4nc5nc[nH]c5nc43)cc1-2,0.8295,4.535051924
248,c1cc2c(cn1)[SiH2:2]c1cncc(-n3cnc4nc5nc[nH]c5nc43)c1-2,0.6082,4.154636552
249,FC(F)(F)C1c2ccccc2-c2ccccc21,1.5813,5.034109
250,c1ccc2c(c1)-c1ccccc1C2c1ccnnc1,0.8471,4.771791104
251,c1ccc2c(c1)-c1ccccc1C2c1nncs1,1.2633,4.946216178
252,O=C1C=C(C2c3ccccc3-c3ccccc32)C(=O)N1,0.0929,3.50210718
253,O=Cc1ccc(C2c3ccccc3-c3ccccc32)cc1,0.6155,4.281985904
254,c1ccc2c(c1)-c1ccccc1C2c1cccc2ccccc12,1.452,4.595189118
255,c1ccc2c(c1)-c1ccccc1C2c1cccc2ncncc12,0.8026,4.253413934
256,c1ccc2c(c1)-c1ccccc1C2c1ccc(-c2cnccn2)cc1,0.8534,4.274638826
257,c1ccc2c(c1)-c1ccccc1C2c1c2[nH]cnc2nc2nc[nH]c12,1.0215,4.646618664
258,c1ccc2c(c1)-c1ccccc1C2c1cncc2c1[nH]c1ccncc12,1.3995,5.009074512
259,O=C(c1ccc(C2c3ccccc3-c3ccccc32)cc1)C(F)(F)F,0.3739,3.852317898
260,c1ccc2c(c1)-c1ccccc1C2c1cccc2c1cnc1ccccc12,1.0785,4.38239597
261,c1ccc2c(c1)-c1ccccc1C2c1cnc2c(c1)[SiH2:2]c1cccnc1-2,0.9584,4.454234066
262,O=[SH](=O)n1c2ccccc2c2ccccc21,1.3129,5.097783676
263,c1ccc2c(c1)c1ccccc1n2-c1nccc2[nH]ccc12,0.7279,4.40416509
264,c1cc(-n2c3ccccc3c3ccccc32)c2nccnc2c1,0.1922,3.147814752
265,c1cc(-n2c3ccccc3c3ccccc32)c2ccsc2c1,0.6712,4.374776778
266,Fc1cc(F)c(F)c(-n2c3ccccc3c3ccccc32)c1F,0.7257,4.555460474
267,c1ccc2c(c1)c1ccccc1n2-c1nc2nc3nc[nH]c3nc2[nH]1,0.8732,3.980211478
268,c1ccc2c(c1)c1ccccc1n2-c1nc2cc3ncoc3nc2o1,0.7445,4.2449784
269,c1ccc2c(c1)[nH]c1cc(-n3c4ccccc4c4ccccc43)ccc12,0.6797,4.251237022
270,Fc1c(F)c(F)c(-n2c3ccccc3c3ccccc32)c(F)c1F,0.7975,4.632196622
271,c1ccc2c(c1)oc1cc(-n3c4ccccc4c4ccccc43)ccc12,0.5976,4.120894416
272,c1cnc2oc3cc(-n4c5ccccc5c5ccccc54)ccc3c2c1,0.5019,3.862114002
273,c1cnc2sc3ccc(-n4c5ccccc5c5ccccc54)cc3c2c1,0.2476,3.873814904
274,c1ccc2c(c1)oc1cc(-c3ccnnc3)ccc12,0.7113,4.342667326
275,c1ccc2c(c1)oc1cc(-c3nccc4[nH]ccc34)ccc12,1.0991,4.210419922
