Index,SMILES,ST Gap,HL Gap,S1,T1
5348,N#Cc1c(-c2ccc(-c3ccc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)s3)cc2)cc(-c2ccc(-c3ccc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)cc3)s2)c(C#N)c1C#N,0.2676,2.562769652,2.3363,2.0687
5349,c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccc(-c3ccc(-c4nc5nc6nc(-c7ccc(-c8ccc(-c9ccc(-n%10c%11ccccc%11c%11ccccc%11%10)cc9)s8)cc7)oc6nc5o4)s3)cc2)cc1,0.5335,2.78236565,2.5224,1.9889
5350,c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccc(-c3ccc(-c4ccnc5c4ccc4c(-c6ccc(-c7ccc(-c8ccc(-n9c%10ccccc%10c%10ccccc%109)cc8)s7)cc6)ccnc45)s3)cc2)cc1,2.2375,3.072711288,2.8041,0.5666
5351,c1cc(-c2cc3c4c(c2)CCCN4CCC3)ccc1-c1ccc(-c2ccc(-c3cnc4cc(-c5ccc(-c6ccc(-c7ccc(-c8cc9c%10c(c8)CCCN%10CCC9)cc7)s6)cc5)cnc4c3)s2)cc1,0.3847,2.629165468,2.4138,2.0291
5352,c1cc(-c2cc3c4c(c2)CCCN4CCC3)ccc1-c1ccc(-c2ccc(-c3nc4nc5nc(-c6ccc(-c7ccc(-c8ccc(-c9cc%10c%11c(c9)CCCN%11CCC%10)cc8)s7)cc6)[nH]c5nc4[nH]3)s2)cc1,0.4497,2.576647466,2.3533,1.9036
5353,c1cc(-c2ccc(-c3ccc(-c4ccc(-c5cc6c7c(c5)CCCN7CCC6)cc4)s3)cc2)c2ccc3c(-c4ccc(-c5ccc(-c6ccc(-c7cc8c9c(c7)CCCN9CCC8)cc6)cc5)s4)ccnc3c2n1,0.5443,2.973117564,2.7292,2.1849
5354,Cc1cccc2c3cccc(C)c3n(-c3sc(-c4cnc5cc(-c6sc(-n7c8c(C)cccc8c8cccc(C)c87)c7c6OCCO7)cnc5c4)c4c3OCCO4)c12,2.6272,2.388616692,1.885,-0.7422
5355,c1ccc2c(c1)Oc1ccccc1[N]2c1ccc(-c2cnc3cc(-c4ccc([N]5c6ccccc6Oc6ccccc65)s4)cnc3c2)s1,0.0219,2.615559768,2.2115,2.1896
5356,c1ccc2c(c1)Oc1ccccc1N2c1ccc(-c2cnc3cc(-c4ccc(N5c6ccccc6Oc6ccccc65)s4)cnc3c2)s1,0.0219,2.615559768,2.2115,2.1896
5357,Cc1cccc2c3cccc(C)c3n(-c3ccc(-c4nc5nc6nc(-c7ccc(-n8c9c(C)cccc9c9cccc(C)c98)s7)[nH]c6nc5[nH]4)s3)c12,0.7674,3.274619876,2.8263,2.0589
5358,CC1(C)c2ccccc2N(c2ccc(-c3cnc4cc(-c5ccc(N6c7ccccc7C(C)(C)c7ccccc76)s5)cnc4c3)s2)c2ccccc21,2.4631,2.235688624,1.7039,-0.7592
5359,CC1(C)c2ccccc2N(c2ccc(-c3nc4nc5nc(-c6ccc(N7c8ccccc8C(C)(C)c8ccccc87)s6)[nH]c5nc4[nH]3)s2)c2ccccc21,0.4765,3.016111576,2.556,2.0795
5360,c1ccc2c(c1)Oc1ccccc1[N]2c1cc2sc(-c3cnc4cc(-c5cc6sc([N]7c8ccccc8Oc8ccccc87)cc6s5)cnc4c3)cc2s1,0.1583,2.56603502,2.2295,2.0712
5361,c1ccc2c(c1)Oc1ccccc1[N]2c1cc2sc(-c3nc4nc5nc(-c6cc7sc([N]8c9ccccc9Oc9ccccc98)cc7s6)[nH]c5nc4[nH]3)cc2s1,0.2875,2.600321384,2.2281,1.9406
5362,c1ccc2c(c1)Oc1ccccc1N2c1ccc(-c2cc3sc(-c4cnc5cc(-c6cc7sc(-c8ccc(N9c%10ccccc%10Oc%10ccccc%109)cc8)cc7s6)cnc5c4)cc3s2)cc1,0.0783,2.238953992,1.9899,1.9116
5363,c1ccc2c(c1)Oc1ccccc1N2c1cc2sc(-c3cnc4cc(-c5cc6sc(N7c8ccccc8Oc8ccccc87)cc6s5)cnc4c3)cc2s1,0.1583,2.56603502,2.2295,2.0712
5364,c1ccc2c(c1)Oc1ccccc1N2c1cc2sc(-c3nc4nc5nc(-c6cc7sc(N8c9ccccc9Oc9ccccc98)cc7s6)[nH]c5nc4[nH]3)cc2s1,0.2875,2.600321384,2.2281,1.9406
